project name,package name,repo name,author,latest version,mode,branch
wps-office-fix,wps-office-fix,wps-office-fix,calyle,v1.0.4,release,main
tools,mise,mise,jdx,v2025.6.8,release,main
tools,usage,usage,jdx,v2.1.1,release,main
tools,zellij,zellij,zellij-org,v0.42.2,release,main
tools,wezterm,wezterm,wezterm,2deb317,commit,main
network,sing-box,sing-box,SagerNet,v1.11.14,release,main
network,sing-geoip,sing-geoip,SagerNet,20250612,release,main
network,sing-geosite,sing-geosite,SagerNet,20250627153051,release,main
zsh-users,zsh-completions,zsh-completions,zsh-users,e07f6fb,commit,master
lost,neofetch,neofetch,dylanaraps,ccd5d9f,commit,master
tools,neohtop,neohtop,Abdenasser,v1.2.0,release,main
tools,auto-cpufreq,auto-cpufreq,AdnanHodzic,v2.6.0,release,master
tools,yazi,yazi,sxyazi,v25.5.31,release,main
tools,ghostty,ghostty,ghostty-org,v1.1.3,tag,main
tools,scrcpy,scrcpy,Genymobile,v3.3.1,release,master
lost,eza,eza,eza-community,v0.21.6,release,main
tools,resvg,resvg,linebender,v0.45.1,release,main
lost,rust-starship,starship,starship,v1.23.0,release,master
